ngram_n,term,positive_frequency,negative_frequency,positive_document_frequency,negative_document_frequency,positive_document_prevalence,negative_document_prevalence,log_odds_z,log_likelihood_g2
1,perfect,28,11,23,10,0.026713124274099883,0.00877963125548727,1.204258774336219,9.704514262280068
1,details,13,3,12,3,0.013937282229965157,0.0026338893766461808,1.2032205169454768,8.65645333674519
1,phone,13,3,9,3,0.010452961672473868,0.0026338893766461808,1.2032205169454768,5.082649051169419
1,boilerplate,13,3,11,3,0.012775842044134728,0.0026338893766461808,1.2032205169454768,7.422334233980784
1,additional,13,3,8,3,0.009291521486643438,0.0026338893766461808,1.2032205169454768,3.9938095147726083
1,processes,13,3,10,3,0.011614401858304297,0.0026338893766461808,1.2032205169454768,6.228651606599858
1,ask,87,49,72,40,0.08362369337979095,0.03511852502194908,1.199880235445511,21.6357320226073
1,diagnosis,17,5,17,3,0.019744483159117306,0.0026338893766461808,1.198484664152564,15.270211936703666
1,assistant,15,4,15,4,0.017421602787456445,0.003511852502194908,1.1970038598095027,10.327234867059783
1,page,15,4,11,4,0.012775842044134728,0.003511852502194908,1.1970038598095027,5.690710008635972
1,final,15,4,13,4,0.015098722415795587,0.003511852502194908,1.1970038598095027,7.933194797892062
1,hand,15,4,13,4,0.015098722415795587,0.003511852502194908,1.1970038598095027,7.933194797892062
1,tool,95,55,83,51,0.09639953542392567,0.04477611940298507,1.170165242492022,20.6888161229151
1,note,22,8,15,7,0.017421602787456445,0.006145741878841089,1.1527421313090829,5.707641082030383
1,source,22,8,19,8,0.022067363530778164,0.007023705004389816,1.1527421313090829,8.3317701155672
1,results,37,17,22,15,0.025551684088269456,0.013169446883230905,1.1404761133177486,4.089534438615885
1,pass,20,7,18,7,0.020905923344947737,0.006145741878841089,1.1376509963349393,8.683626495444885
1,including,20,7,19,7,0.022067363530778164,0.006145741878841089,1.1376509963349393,9.745089418829094
1,quality,18,6,18,6,0.020905923344947737,0.0052677787532923615,1.1244834977283487,10.226417477506228
1,identify,10,2,9,2,0.010452961672473868,0.001755926251097454,1.1237963132284778,7.028773148595106
1,dangerous,10,2,10,2,0.011614401858304297,0.001755926251097454,1.1237963132284778,8.342641846025824
1,possibly,10,2,8,2,0.009291521486643438,0.001755926251097454,1.1237963132284778,5.756858630074179
1,motion,10,2,8,2,0.009291521486643438,0.001755926251097454,1.1237963132284778,5.756858630074179
1,consequences,10,2,8,2,0.009291521486643438,0.001755926251097454,1.1237963132284778,5.756858630074179
1,surgery,10,2,9,1,0.010452961672473868,0.000877963125548727,1.1237963132284778,9.840077566603846
1,spend,16,5,16,5,0.018583042973286876,0.004389815627743635,1.1142140769923945,9.646988565892258
1,feedback,16,5,9,5,0.010452961672473868,0.004389815627743635,1.1142140769923945,2.569482408385009
1,saving,12,3,8,3,0.009291521486643438,0.0026338893766461808,1.1098924149104714,3.9938095147726083
1,matters,12,3,10,3,0.011614401858304297,0.0026338893766461808,1.1098924149104714,6.228651606599858
1,makes,52,27,49,26,0.056910569105691054,0.0228270412642669,1.1037569279508448,15.660007455280354
1,attorney,23,9,16,6,0.018583042973286876,0.0052677787532923615,1.0959168717920067,8.031855134232876
1,advice,23,9,20,8,0.023228803716608595,0.007023705004389816,1.0959168717920067,9.347860218266101
1,issue,39,19,34,18,0.03948896631823461,0.015803336259877086,1.0699957034575887,10.778120680893021
1,paid,26,11,16,11,0.018583042973286876,0.009657594381035996,1.0663681192923278,2.896735351341098
1,design,19,7,12,7,0.013937282229965157,0.006145741878841089,1.0580649841256298,3.1312264611888887
1,smart,19,7,18,7,0.020905923344947737,0.006145741878841089,1.0580649841256298,8.683626495444885
1,wrong,63,35,53,30,0.06155632984901278,0.02633889376646181,1.0540419010914506,15.148279329318207
1,used,113,70,100,63,0.11614401858304298,0.0553116769095698,1.045104226078089,23.987589689319627
1,higher,17,6,15,6,0.017421602787456445,0.0052677787532923615,1.0410646034697173,6.986115338752205
1,changing,17,6,17,6,0.019744483159117306,0.0052677787532923615,1.0410646034697173,9.113091757822126
1,westlaw,15,5,14,4,0.016260162601626018,0.003511852502194908,1.0264124432720065,9.113633470097184
1,generating,9,2,9,2,0.010452961672473868,0.001755926251097454,1.0188787115491498,7.028773148595106
1,strict,9,2,9,2,0.010452961672473868,0.001755926251097454,1.0188787115491498,7.028773148595106
1,dramatically,9,2,8,2,0.009291521486643438,0.001755926251097454,1.0188787115491498,5.756858630074179
1,formatting,9,2,8,2,0.009291521486643438,0.001755926251097454,1.0188787115491498,5.756858630074179
1,judgment,13,4,12,4,0.013937282229965157,0.003511852502194908,1.0155965684962767,6.790389279915818
1,straight,13,4,12,4,0.013937282229965157,0.003511852502194908,1.0155965684962767,6.790389279915818
1,step,13,4,12,4,0.013937282229965157,0.003511852502194908,1.0155965684962767,6.790389279915818
1,speed,13,4,13,4,0.015098722415795587,0.003511852502194908,1.0155965684962767,7.933194797892062
1,ultimately,13,4,13,4,0.015098722415795587,0.003511852502194908,1.0155965684962767,7.933194797892062
1,you'd,11,3,9,3,0.010452961672473868,0.0026338893766461808,1.0113053167432902,5.082649051169419
1,detect,11,3,10,2,0.011614401858304297,0.001755926251097454,1.0113053167432902,8.342641846025824
1,responsibility,11,3,11,2,0.012775842044134728,0.001755926251097454,1.0113053167432902,9.691329252114503
1,files,11,3,8,3,0.009291521486643438,0.0026338893766461808,1.0113053167432902,3.9938095147726083
1,session,11,3,9,2,0.010452961672473868,0.001755926251097454,1.0113053167432902,7.028773148595106
1,training,30,14,21,14,0.024390243902439025,0.012291483757682178,1.0036012623402082,4.124115831671743
1,follow,30,14,23,13,0.026713124274099883,0.01141352063213345,1.0036012623402082,6.43209561274038
1,complete,20,8,17,7,0.019744483159117306,0.006145741878841089,0.9979298996796189,7.654670384300417
1,social,20,8,14,7,0.016260162601626018,0.006145741878841089,0.9979298996796189,4.7976976280609165
1,helps,20,8,19,8,0.022067363530778164,0.007023705004389816,0.9979298996796189,8.3317701155672
1,it's,420,301,263,221,0.305458768873403,0.19402985074626866,0.9949281458003599,32.93873628449873
1,improve,18,7,17,7,0.019744483159117306,0.006145741878841089,0.9757052922830232,7.654670384300417
1,cannot,151,99,125,93,0.14518002322880372,0.08165057067603161,0.9756486805694456,20.150377789655018
1,form,23,10,18,10,0.020905923344947737,0.00877963125548727,0.9691368760495868,5.1758177452740455
1,exact,16,6,14,6,0.016260162601626018,0.0052677787532923615,0.9543792752501828,5.979887152162662
1,lead,16,6,15,6,0.017421602787456445,0.0052677787532923615,0.9543792752501828,6.986115338752205
1,summary,16,6,15,6,0.017421602787456445,0.0052677787532923615,0.9543792752501828,6.986115338752205
1,language,40,21,26,19,0.030197444831591175,0.016681299385425813,0.9472141227381252,4.021657265699277
1,task,21,9,18,8,0.020905923344947737,0.007023705004389816,0.9430706322992942,7.348262416861839
1,attorneys,21,9,13,8,0.015098722415795587,0.007023705004389816,0.9430706322992942,3.0430809703663684
1,missing,14,5,14,5,0.016260162601626018,0.004389815627743635,0.9346906599396286,7.39768404175855
1,average,14,5,8,5,0.009291521486643438,0.004389815627743635,0.9346906599396286,1.8035137926963598
1,truly,14,5,13,5,0.015098722415795587,0.004389815627743635,0.9346906599396286,6.329422789044633
1,points,14,5,11,4,0.012775842044134728,0.003511852502194908,0.9346906599396286,5.690710008635972
1,without,79,48,71,42,0.08246225319396051,0.03687445127304653,0.9293960411881795,18.928179709209154
1,systems,32,16,28,15,0.032520325203252036,0.013169446883230905,0.9273634169531154,8.656709385819104
1,real,66,39,56,35,0.06504065040650407,0.030728709394205442,0.9220634789823646,13.14741080679342
1,ideas,24,11,19,10,0.022067363530778164,0.00877963125548727,0.9214923133731217,6.011762778077983
1,ais,12,4,8,3,0.009291521486643438,0.0026338893766461808,0.9179464325081722,3.9938095147726083
1,invoices,12,4,9,3,0.010452961672473868,0.0026338893766461808,0.9179464325081722,5.082649051169419
1,depending,12,4,12,4,0.013937282229965157,0.003511852502194908,0.9179464325081722,6.790389279915818
1,send,12,4,11,4,0.012775842044134728,0.003511852502194908,0.9179464325081722,5.690710008635972
1,known,12,4,12,4,0.013937282229965157,0.003511852502194908,0.9179464325081722,6.790389279915818
1,contract,19,8,9,6,0.010452961672473868,0.0052677787532923615,0.916746759089503,1.7494373159103702
1,component,10,3,7,3,0.008130081300813009,0.0026338893766461808,0.9066345769611835,2.974894807745279
1,completed,10,3,9,3,0.010452961672473868,0.0026338893766461808,0.9066345769611835,5.082649051169419
1,reasonable,10,3,8,3,0.009291521486643438,0.0026338893766461808,0.9066345769611835,3.9938095147726083
1,relying,10,3,10,3,0.011614401858304297,0.0026338893766461808,0.9066345769611835,6.228651606599858
1,treat,10,3,10,3,0.011614401858304297,0.0026338893766461808,0.9066345769611835,6.228651606599858
1,millions,8,2,8,2,0.009291521486643438,0.001755926251097454,0.9060255910452387,5.756858630074179
1,pages,8,2,8,2,0.009291521486643438,0.001755926251097454,0.9060255910452387,5.756858630074179
1,lets,8,2,8,2,0.009291521486643438,0.001755926251097454,0.9060255910452387,5.756858630074179
1,privacy,8,2,8,2,0.009291521486643438,0.001755926251097454,0.9060255910452387,5.756858630074179
1,empathy,8,2,8,2,0.009291521486643438,0.001755926251097454,0.9060255910452387,5.756858630074179
1,disagree,8,2,8,2,0.009291521486643438,0.001755926251097454,0.9060255910452387,5.756858630074179
1,provides,8,2,8,2,0.009291521486643438,0.001755926251097454,0.9060255910452387,5.756858630074179
1,says,22,10,21,10,0.024390243902439025,0.00877963125548727,0.892692805128944,7.793764833106318
1,times,33,17,31,17,0.036004645760743324,0.014925373134328358,0.8921756448464097,9.220598359105566
1,hours,33,17,27,16,0.0313588850174216,0.014047410008779631,0.8921756448464097,6.9126398260466875
1,therapist,17,7,15,7,0.017421602787456445,0.006145741878841089,0.8903265450865732,5.707641082030383
1,client,42,23,31,19,0.036004645760743324,0.016681299385425813,0.8886938540345729,7.429506399436972
1,pull,15,6,15,6,0.017421602787456445,0.0052677787532923615,0.8640987536011644,6.986115338752205
1,entire,20,9,20,9,0.023228803716608595,0.007901668129938543,0.863124055613987,8.039401741000553
1,file,20,9,13,9,0.015098722415795587,0.007901668129938543,0.863124055613987,2.305491114289911
1,person,47,27,43,26,0.04994192799070848,0.0228270412642669,0.8389345212281752,10.708720985971798
1,mistake,13,5,10,2,0.011614401858304297,0.001755926251097454,0.8385913031131773,8.342641846025824
1,drafting,13,5,11,4,0.012775842044134728,0.003511852502194908,0.8385913031131773,5.690710008635972
1,80,13,5,9,4,0.010452961672473868,0.003511852502194908,0.8385913031131773,3.6500155225328275
1,transactions,13,5,11,4,0.012775842044134728,0.003511852502194908,0.8385913031131773,5.690710008635972
1,style,13,5,12,5,0.013937282229965157,0.004389815627743635,0.8385913031131773,5.305340844091923
1,provided,13,5,12,5,0.013937282229965157,0.004389815627743635,0.8385913031131773,5.305340844091923
1,effectively,13,5,9,5,0.010452961672473868,0.004389815627743635,0.8385913031131773,2.569482408385009
1,patterns,13,5,12,3,0.013937282229965157,0.0026338893766461808,0.8385913031131773,8.65645333674519
1,second,18,8,17,8,0.019744483159117306,0.007023705004389816,0.8327708627918908,6.400340310987181
1,time,197,137,155,113,0.1800232288037166,0.09920983318700614,0.8283956768520965,27.305335951190997
1,generate,32,17,28,16,0.032520325203252036,0.014047410008779631,0.8271869781664919,7.701981373565626
1,cite,11,4,10,4,0.011614401858304297,0.003511852502194908,0.8148133088140153,4.641013299255047
1,security,11,4,10,4,0.011614401858304297,0.003511852502194908,0.8148133088140153,4.641013299255047
1,garbage,11,4,9,4,0.010452961672473868,0.003511852502194908,0.8148133088140153,3.6500155225328275
1,judgement,11,4,9,4,0.010452961672473868,0.003511852502194908,0.8148133088140153,3.6500155225328275
1,lack,11,4,10,3,0.011614401858304297,0.0026338893766461808,0.8148133088140153,6.228651606599858
1,decent,11,4,10,4,0.011614401858304297,0.003511852502194908,0.8148133088140153,4.641013299255047
1,humans,45,26,30,20,0.03484320557491289,0.01755926251097454,0.80875605075184,5.937533286623221
1,junior,24,12,19,11,0.022067363530778164,0.009657594381035996,0.8029597539336967,5.059868203976849
1,thoughts,16,7,15,6,0.017421602787456445,0.0052677787532923615,0.801649514883649,6.986115338752205
1,quite,36,20,31,17,0.036004645760743324,0.014925373134328358,0.796300769393725,9.220598359105566
1,general,36,20,32,20,0.03716608594657375,0.01755926251097454,0.796300769393725,7.360326763514028
1,topics,9,3,9,3,0.010452961672473868,0.0026338893766461808,0.7948412351021813,5.082649051169419
1,equivalent,9,3,8,3,0.009291521486643438,0.0026338893766461808,0.7948412351021813,3.9938095147726083
1,confidence,9,3,8,3,0.009291521486643438,0.0026338893766461808,0.7948412351021813,3.9938095147726083
1,platforms,9,3,7,3,0.008130081300813009,0.0026338893766461808,0.7948412351021813,2.974894807745279
1,allowed,9,3,8,3,0.009291521486643438,0.0026338893766461808,0.7948412351021813,3.9938095147726083
1,handling,9,3,9,3,0.010452961672473868,0.0026338893766461808,0.7948412351021813,5.082649051169419
1,edge,9,3,7,3,0.008130081300813009,0.0026338893766461808,0.7948412351021813,2.974894807745279
1,you'll,33,18,27,18,0.0313588850174216,0.015803336259877086,0.7944809585834773,5.329925282322357
1,read,63,39,59,34,0.06852497096399536,0.029850746268656716,0.7812706842249614,16.384195230851336
1,clear,19,9,19,9,0.022067363530778164,0.007901668129938543,0.7805895859667646,7.0957696009541085
1,function,14,6,14,4,0.016260162601626018,0.003511852502194908,0.769842226187553,9.113633470097184
1,repetitive,14,6,13,5,0.015098722415795587,0.004389815627743635,0.769842226187553,6.329422789044633
1,giving,22,11,20,9,0.023228803716608595,0.007901668129938543,0.768733239326112,8.039401741000553
1,tax,50,30,29,20,0.03368176538908246,0.01755926251097454,0.7676656137097982,5.267540294829905
1,problems,34,19,30,17,0.03484320557491289,0.014925373134328358,0.7633202513943783,8.396981062885922
1,test,25,13,18,10,0.020905923344947737,0.00877963125548727,0.7626668474609546,5.1758177452740455
1,does,188,132,148,103,0.1718931475029036,0.09043020193151888,0.7625556391800068,29.33854795399523
1,we're,28,15,24,12,0.027874564459930314,0.010535557506584723,0.7604577278486454,8.287920883099668
1,90,17,8,15,8,0.017421602787456445,0.007023705004389816,0.7457635073006871,4.625676190074111
1,truth,12,5,8,5,0.009291521486643438,0.004389815627743635,0.7375719959487579,1.8035137926963598
1,insurance,12,5,9,4,0.010452961672473868,0.003511852502194908,0.7375719959487579,3.6500155225328275
1,physician,12,5,7,5,0.008130081300813009,0.004389815627743635,0.7375719959487579,1.135540209793981
